Project ID,Report Date,Number of Tasks Completed,Number of Tasks In Progress,Number of Delayed Tasks,Daily Progress Percentage
PRJ_001,2023-01-01,0,9,0,2.67
PRJ_001,2023-01-02,3,8,0,5.53
PRJ_001,2023-01-03,5,8,0,8.07
PRJ_001,2023-01-04,8,8,0,10.6
PRJ_001,2023-01-05,10,7,0,13.0
PRJ_001,2023-01-06,13,6,0,15.07
PRJ_001,2023-01-07,15,10,0,16.93
PRJ_001,2023-01-08,16,13,1,19.57
PRJ_001,2023-01-09,19,12,1,22.74
PRJ_001,2023-01-10,22,10,2,25.45
PRJ_001,2023-01-11,23,14,3,27.36
PRJ_001,2023-01-12,25,16,4,30.16
PRJ_001,2023-01-13,26,18,6,33.49
PRJ_001,2023-01-14,30,17,4,37.49
PRJ_001,2023-01-15,35,12,3,41.26
PRJ_001,2023-01-16,39,11,4,43.79
PRJ_001,2023-01-17,43,12,5,46.27
PRJ_001,2023-01-18,44,15,5,48.6
PRJ_001,2023-01-19,46,16,6,51.77
PRJ_001,2023-01-20,49,14,7,54.9
PRJ_001,2023-01-21,52,16,7,57.44
PRJ_001,2023-01-22,54,18,8,60.2
PRJ_002,2023-01-01,0,4,0,0.67
PRJ_002,2023-01-02,0,7,0,2.0
PRJ_002,2023-01-03,2,5,0,4.17
PRJ_002,2023-01-04,4,7,0,5.67
PRJ_002,2023-01-05,6,9,0,7.48
PRJ_002,2023-01-06,6,10,0,9.66
PRJ_002,2023-01-07,8,9,4,12.17
PRJ_002,2023-01-08,11,14,4,14.1
PRJ_002,2023-01-09,13,14,5,17.06
PRJ_002,2023-01-10,14,15,6,20.14
PRJ_002,2023-01-11,19,14,7,23.29
PRJ_002,2023-01-12,22,16,8,25.99
PRJ_002,2023-01-13,23,17,9,29.09
PRJ_002,2023-01-14,25,20,11,32.5
PRJ_002,2023-01-15,29,22,13,35.96
PRJ_002,2023-01-16,32,19,12,39.3
PRJ_002,2023-01-17,33,20,13,41.9
PRJ_002,2023-01-18,37,23,13,44.82
PRJ_002,2023-01-19,39,23,12,48.42
PRJ_002,2023-01-20,43,21,11,52.47
PRJ_002,2023-01-21,46,18,11,55.97
PRJ_002,2023-01-22,50,19,13,58.72
PRJ_003,2023-01-01,0,2,0,0.33
PRJ_003,2023-01-02,0,6,0,1.0
PRJ_003,2023-01-03,1,9,0,3.0
PRJ_003,2023-01-04,2,9,0,5.62
PRJ_003,2023-01-05,6,5,0,8.25
PRJ_003,2023-01-06,8,8,0,9.54
