Project ID,Milestone ID,Milestone Name,Planned Date,Actual Date,Completion Status,Associated Task ID
PRJ_001,MLS_0001,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_001_09
PRJ_001,MLS_0002,Milestone Completion of Task 19,2023-01-11,2023-01-21,Completed,TSK_001_19
PRJ_001,MLS_0003,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_001_29
PRJ_001,MLS_0004,Milestone Completion of Task 39,2023-01-17,2023-01-17,Completed,TSK_001_39
PRJ_001,MLS_0005,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_001_49
PRJ_001,MLS_0006,Milestone Completion of Task 59,2023-01-23,2023-01-23,Pending,TSK_001_59
PRJ_001,MLS_0007,Milestone Completion of Task 69,2023-01-26,2023-02-05,Delayed,TSK_001_69
PRJ_001,MLS_0008,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_001_79
PRJ_001,MLS_0009,Milestone Completion of Task 89,2023-02-01,2023-01-28,Pending,TSK_001_89
PRJ_001,MLS_0010,Milestone Completion of Task 99,2023-02-04,2023-02-19,Delayed,TSK_001_99
PRJ_002,MLS_0011,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_002_09
PRJ_002,MLS_0012,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_002_19
PRJ_002,MLS_0013,Milestone Completion of Task 29,2023-01-14,2023-01-19,Completed,TSK_002_29
PRJ_002,MLS_0014,Milestone Completion of Task 39,2023-01-17,2023-01-24,Delayed,TSK_002_39
PRJ_002,MLS_0015,Milestone Completion of Task 49,2023-01-20,2023-02-04,Delayed,TSK_002_49
PRJ_002,MLS_0016,Milestone Completion of Task 59,2023-01-23,2023-02-02,Delayed,TSK_002_59
PRJ_002,MLS_0017,Milestone Completion of Task 69,2023-01-26,2023-01-22,Completed,TSK_002_69
PRJ_002,MLS_0018,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_002_79
PRJ_002,MLS_0019,Milestone Completion of Task 89,2023-02-01,2023-02-16,Delayed,TSK_002_89
PRJ_002,MLS_0020,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_002_99
PRJ_003,MLS_0021,Milestone Completion of Task 9,2023-01-08,2023-01-15,Completed,TSK_003_09
PRJ_003,MLS_0022,Milestone Completion of Task 19,2023-01-11,2023-01-07,Completed,TSK_003_19
PRJ_003,MLS_0023,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_003_29
PRJ_003,MLS_0024,Milestone Completion of Task 39,2023-01-17,2023-02-01,Delayed,TSK_003_39
PRJ_003,MLS_0025,Milestone Completion of Task 49,2023-01-20,2023-01-16,Completed,TSK_003_49
PRJ_003,MLS_0026,Milestone Completion of Task 59,2023-01-23,2023-02-02,Delayed,TSK_003_59
PRJ_003,MLS_0027,Milestone Completion of Task 69,2023-01-26,2023-01-26,Pending,TSK_003_69
PRJ_003,MLS_0028,Milestone Completion of Task 79,2023-01-29,2023-01-25,Pending,TSK_003_79
PRJ_003,MLS_0029,Milestone Completion of Task 89,2023-02-01,2023-01-28,Pending,TSK_003_89
PRJ_003,MLS_0030,Milestone Completion of Task 99,2023-02-04,2023-01-31,Pending,TSK_003_99
PRJ_004,MLS_0031,Milestone Completion of Task 9,2023-01-08,2023-01-04,Completed,TSK_004_09
PRJ_004,MLS_0032,Milestone Completion of Task 19,2023-01-11,2023-01-12,Completed,TSK_004_19
PRJ_004,MLS_0033,Milestone Completion of Task 29,2023-01-14,2023-01-10,Completed,TSK_004_29
PRJ_004,MLS_0034,Milestone Completion of Task 39,2023-01-17,2023-01-28,Delayed,TSK_004_39
PRJ_004,MLS_0035,Milestone Completion of Task 49,2023-01-20,2023-01-26,Delayed,TSK_004_49
PRJ_004,MLS_0036,Milestone Completion of Task 59,2023-01-23,2023-01-26,Delayed,TSK_004_59
