Project ID,Project Name,Project Type,Project Start Date,Planned End Date,Actual End Date,Current Date,Planned Duration (Days),Actual Duration (Days),Current Project Phase,Project Status,Delay Factor
PRJ_001,Construction Project 1,Industrial,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,Planning,In Progress,0.5
PRJ_002,Construction Project 2,Commercial,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,Planning,In Progress,0.5
PRJ_003,Construction Project 3,Institutional,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,Excavation,In Progress,0.5
PRJ_004,Construction Project 4,Institutional,2023-01-01,2023-01-31,2023-01-25,2023-01-22,30,24,Excavation,In Progress,0.8
PRJ_005,Construction Project 5,Residential,2023-01-01,2023-01-31,2023-02-21,2023-01-22,30,51,Excavation,In Progress,1.7
PRJ_006,Construction Project 6,Industrial,2023-01-01,2023-01-31,2023-02-13,2023-01-22,30,43,Foundation,In Progress,1.4333333333333333
PRJ_007,Construction Project 7,Residential,2023-01-01,2023-01-31,2023-02-06,2023-01-22,30,36,Foundation,In Progress,1.2
PRJ_008,Construction Project 8,Commercial,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,Structural,In Progress,0.5
PRJ_009,Construction Project 9,Institutional,2023-01-01,2023-01-31,2023-04-19,2023-01-22,30,108,Structural,In Progress,3.6
PRJ_010,Construction Project 10,Residential,2023-01-01,2023-01-31,2023-02-06,2023-01-22,30,36,MEP,In Progress,1.2
PRJ_011,Construction Project 11,Residential,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,MEP,In Progress,0.5
PRJ_012,Construction Project 12,Commercial,2023-01-01,2023-01-31,2023-02-19,2023-01-22,30,49,Finishing,In Progress,1.6333333333333333
PRJ_013,Construction Project 13,Institutional,2023-01-01,2023-01-31,2023-03-05,2023-01-22,30,63,Finishing,In Progress,2.1
PRJ_014,Construction Project 14,Institutional,2023-01-01,2023-01-31,2023-03-14,2023-01-22,30,72,Commissioning,In Progress,2.4
PRJ_015,Construction Project 15,Institutional,2023-01-01,2023-01-31,2023-01-16,2023-01-22,30,15,Commissioning,In Progress,0.5
PRJ_016,Construction Project 16,Institutional,2023-01-02,2023-02-01,2023-03-13,2023-01-22,30,70,Commissioning,In Progress,2.333333333333333
PRJ_017,Construction Project 17,Industrial,2023-01-02,2023-02-01,2023-04-17,2023-01-22,30,105,Handover,In Progress,3.5
PRJ_018,Construction Project 18,Industrial,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,In Progress,0.5
PRJ_019,Construction Project 19,Industrial,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_020,Construction Project 20,Commercial,2023-01-02,2023-02-01,2023-01-29,2023-01-22,30,27,Handover,Completed,0.9
PRJ_021,Construction Project 21,Infrastructure,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_022,Construction Project 22,Commercial,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_023,Construction Project 23,Commercial,2023-01-02,2023-02-01,2023-02-26,2023-01-22,30,55,Handover,Completed,1.8333333333333335
PRJ_024,Construction Project 24,Industrial,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_025,Construction Project 25,Industrial,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_026,Construction Project 26,Institutional,2023-01-02,2023-02-01,2023-01-17,2023-01-22,30,15,Handover,Completed,0.5
PRJ_027,Construction Project 27,Residential,2023-01-02,2023-02-01,2023-03-09,2023-01-22,30,66,Handover,Completed,2.2
PRJ_028,Construction Project 28,Infrastructure,2023-01-02,2023-02-01,2023-02-25,2023-01-22,30,54,Handover,Completed,1.8
PRJ_029,Construction Project 29,Institutional,2023-01-02,2023-02-01,2023-03-09,2023-01-22,30,66,Handover,Completed,2.2
PRJ_030,Construction Project 30,Institutional,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_031,Construction Project 31,Institutional,2023-01-03,2023-02-02,2023-03-31,2023-01-22,30,87,Handover,Completed,2.9
PRJ_032,Construction Project 32,Infrastructure,2023-01-03,2023-02-02,2023-03-01,2023-01-22,30,57,Handover,Completed,1.9
PRJ_033,Construction Project 33,Institutional,2023-01-03,2023-02-02,2023-01-30,2023-01-22,30,27,Handover,Completed,0.9
PRJ_034,Construction Project 34,Industrial,2023-01-03,2023-02-02,2023-02-08,2023-01-22,30,36,Handover,Completed,1.2
PRJ_035,Construction Project 35,Institutional,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_036,Construction Project 36,Residential,2023-01-03,2023-02-02,2023-02-11,2023-01-22,30,39,Handover,Completed,1.3
PRJ_037,Construction Project 37,Infrastructure,2023-01-03,2023-02-02,2023-02-12,2023-01-22,30,40,Handover,Completed,1.3333333333333333
PRJ_038,Construction Project 38,Infrastructure,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_039,Construction Project 39,Industrial,2023-01-03,2023-02-02,2023-02-06,2023-01-22,30,34,Handover,Completed,1.1333333333333333
PRJ_040,Construction Project 40,Industrial,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_041,Construction Project 41,Industrial,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_042,Construction Project 42,Infrastructure,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_043,Construction Project 43,Institutional,2023-01-03,2023-02-02,2023-03-16,2023-01-22,30,72,Handover,Completed,2.4
PRJ_044,Construction Project 44,Commercial,2023-01-03,2023-02-02,2023-01-18,2023-01-22,30,15,Handover,Completed,0.5
PRJ_045,Construction Project 45,Industrial,2023-01-04,2023-02-03,2023-01-21,2023-01-22,30,17,Handover,Completed,0.5666666666666667
PRJ_046,Construction Project 46,Institutional,2023-01-04,2023-02-03,2023-01-21,2023-01-22,30,17,Handover,Completed,0.5666666666666667
PRJ_047,Construction Project 47,Infrastructure,2023-01-04,2023-02-03,2023-04-02,2023-01-22,30,88,Handover,Completed,2.9333333333333336
PRJ_048,Construction Project 48,Institutional,2023-01-04,2023-02-03,2023-02-04,2023-01-22,30,31,Handover,Completed,1.0333333333333334
PRJ_049,Construction Project 49,Commercial,2023-01-04,2023-02-03,2023-02-03,2023-01-22,30,30,Handover,Completed,1.0
PRJ_050,Construction Project 50,Commercial,2023-01-04,2023-02-03,2023-03-23,2023-01-22,30,78,Handover,Completed,2.6
