Project ID,Task ID,Task Name,WBS Level,Task Category,Planned Start Date,Planned End Date,Actual Start Date,Actual End Date,Task Status,Planned Progress (%),Actual Progress (%),Task Duration,Actual Duration,Remaining Duration,Task Dependency,Critical Path,Task Priority
PRJ_001,TSK_001_00,Task MEP - 0,3,MEP,2023-01-01,2023-01-06,2022-12-30,2023-01-02,Completed,100.0,100.0,5,3,0,,Yes,Low
PRJ_001,TSK_001_01,Task MEP - 1,1,MEP,2023-01-01,2023-01-06,2023-01-01,2023-01-06,Completed,100.0,100.0,5,5,0,TSK_001_00,No,High
PRJ_001,TSK_001_02,Task Excavation - 2,3,Excavation,2023-01-01,2023-01-06,2022-12-30,2023-01-02,Completed,100.0,100.0,5,3,0,TSK_001_01,No,Low
PRJ_001,TSK_001_03,Task Excavation - 3,3,Excavation,2023-01-01,2023-01-06,2022-12-30,2023-01-02,Completed,100.0,100.0,5,3,0,TSK_001_02,Yes,Medium
PRJ_001,TSK_001_04,Task MEP - 4,3,MEP,2023-01-02,2023-01-07,2022-12-31,2023-01-03,Completed,100.0,100.0,5,3,0,TSK_001_03,No,High
PRJ_001,TSK_001_05,Task Finishing - 5,1,Finishing,2023-01-02,2023-01-07,2023-01-09,2023-01-22,Completed,100.0,100.0,5,13,0,TSK_001_04,Yes,High
PRJ_001,TSK_001_06,Task Finishing - 6,3,Finishing,2023-01-02,2023-01-07,2022-12-31,2023-01-03,Completed,100.0,100.0,5,3,0,TSK_001_05,Yes,Critical
PRJ_001,TSK_001_07,Task Finishing - 7,1,Finishing,2023-01-03,2023-01-08,2023-01-01,2023-01-04,Completed,100.0,100.0,5,3,0,TSK_001_06,Yes,Medium
PRJ_001,TSK_001_08,Task MEP - 8,2,MEP,2023-01-03,2023-01-08,2023-01-01,2023-01-04,Completed,100.0,100.0,5,3,0,TSK_001_07,No,Medium
PRJ_001,TSK_001_09,Task Finishing - 9,2,Finishing,2023-01-03,2023-01-08,2023-01-01,2023-01-04,Completed,100.0,100.0,5,3,0,TSK_001_08,Yes,Medium
PRJ_001,TSK_001_10,Task MEP - 10,1,MEP,2023-01-04,2023-01-09,2023-01-02,2023-01-05,Completed,100.0,100.0,5,3,0,TSK_001_09,No,Critical
PRJ_001,TSK_001_11,Task MEP - 11,2,MEP,2023-01-04,2023-01-09,2023-01-02,2023-01-05,Completed,100.0,100.0,5,3,0,TSK_001_10,No,Low
PRJ_001,TSK_001_12,Task Finishing - 12,1,Finishing,2023-01-04,2023-01-09,2023-01-04,2023-01-09,Completed,100.0,100.0,5,5,0,TSK_001_11,Yes,Medium
PRJ_001,TSK_001_13,Task Finishing - 13,1,Finishing,2023-01-04,2023-01-09,2023-01-07,2023-01-16,Completed,100.0,100.0,5,9,0,TSK_001_12,Yes,Critical
