Project ID,Week Number,Planned Weekly Progress,Actual Weekly Progress,Weekly Schedule Variance
PRJ_001,1,17.0,19.57,2.57
PRJ_001,2,40.4,41.26,0.86
PRJ_001,3,63.6,60.2,-3.4
PRJ_002,1,17.0,14.1,-2.9
PRJ_002,2,40.4,35.96,-4.44
PRJ_002,3,63.6,58.72,-4.88
PRJ_003,1,17.0,13.37,-3.63
PRJ_003,2,40.4,37.08,-3.32
PRJ_003,3,63.6,54.69,-8.91
PRJ_004,1,17.0,14.79,-2.21
PRJ_004,2,40.4,37.31,-3.09
PRJ_004,3,63.6,57.77,-5.83
PRJ_005,1,17.0,12.04,-4.96
PRJ_005,2,40.4,29.56,-10.84
PRJ_005,3,63.6,51.98,-11.62
PRJ_006,1,17.0,14.55,-2.45
PRJ_006,2,40.4,35.28,-5.12
PRJ_006,3,63.6,57.04,-6.56
PRJ_007,1,17.0,14.69,-2.31
PRJ_007,2,40.4,36.36,-4.04
PRJ_007,3,63.6,55.24,-8.36
PRJ_008,1,17.0,14.42,-2.58
PRJ_008,2,40.4,33.29,-7.11
PRJ_008,3,63.6,58.08,-5.52
PRJ_009,1,17.0,17.91,0.91
PRJ_009,2,40.4,37.59,-2.81
PRJ_009,3,63.6,54.84,-8.76
PRJ_010,1,17.0,14.73,-2.27
PRJ_010,2,40.4,36.2,-4.2
PRJ_010,3,63.6,59.89,-3.71
PRJ_011,1,17.0,15.54,-1.46
PRJ_011,2,40.4,31.97,-8.43
PRJ_011,3,63.6,58.6,-5.0
PRJ_012,1,17.0,13.76,-3.24
PRJ_012,2,40.4,32.59,-7.81
PRJ_012,3,63.6,52.01,-11.59
PRJ_013,1,17.0,10.33,-6.67
PRJ_013,2,40.4,27.77,-12.63
PRJ_013,3,63.6,54.09,-9.51
PRJ_014,1,17.0,11.07,-5.93
PRJ_014,2,40.4,29.12,-11.28
PRJ_014,3,63.6,56.81,-6.79
PRJ_015,1,17.0,17.06,0.06
PRJ_015,2,40.4,34.27,-6.13
PRJ_015,3,63.6,54.48,-9.12
PRJ_016,1,17.0,17.33,0.33
PRJ_016,2,40.4,29.49,-10.91
PRJ_017,1,17.0,13.87,-3.13
PRJ_017,2,40.4,29.58,-10.82
PRJ_018,1,17.0,17.94,0.94
PRJ_018,2,40.4,37.38,-3.02
PRJ_019,1,17.0,13.64,-3.36
PRJ_019,2,40.4,32.95,-7.45
PRJ_020,1,17.0,18.59,1.59
PRJ_020,2,40.4,35.39,-5.01
PRJ_021,1,17.0,14.25,-2.75
PRJ_021,2,40.4,32.68,-7.72
PRJ_022,1,17.0,13.59,-3.41
PRJ_022,2,40.4,34.31,-6.09
PRJ_023,1,17.0,11.85,-5.15
PRJ_023,2,40.4,33.92,-6.48
PRJ_024,1,17.0,15.87,-1.13
PRJ_024,2,40.4,35.73,-4.67
PRJ_025,1,17.0,18.64,1.64
PRJ_025,2,40.4,37.58,-2.82
PRJ_026,1,17.0,15.8,-1.2
PRJ_026,2,40.4,33.95,-6.45
PRJ_027,1,17.0,14.33,-2.67
PRJ_027,2,40.4,31.6,-8.8
PRJ_028,1,17.0,14.22,-2.78
PRJ_028,2,40.4,32.0,-8.4
PRJ_029,1,17.0,13.67,-3.33
PRJ_029,2,40.4,31.49,-8.91
PRJ_030,1,17.0,17.82,0.82
PRJ_030,2,40.4,38.5,-1.9
PRJ_031,1,17.0,15.38,-1.62
PRJ_031,2,40.4,31.18,-9.22
PRJ_032,1,17.0,15.76,-1.24
PRJ_032,2,40.4,32.46,-7.94
PRJ_033,1,17.0,11.72,-5.28
PRJ_033,2,40.4,37.55,-2.85
PRJ_034,1,17.0,12.59,-4.41
PRJ_034,2,40.4,35.36,-5.04
PRJ_035,1,17.0,13.41,-3.59
PRJ_035,2,40.4,35.44,-4.96
PRJ_036,1,17.0,11.87,-5.13
PRJ_036,2,40.4,35.27,-5.13
PRJ_037,1,17.0,13.12,-3.88
PRJ_037,2,40.4,34.23,-6.17
PRJ_038,1,17.0,16.57,-0.43
PRJ_038,2,40.4,33.62,-6.78
PRJ_039,1,17.0,12.85,-4.15
PRJ_039,2,40.4,34.02,-6.38
PRJ_040,1,17.0,12.73,-4.27
PRJ_040,2,40.4,29.84,-10.56
PRJ_041,1,17.0,15.51,-1.49
PRJ_041,2,40.4,33.89,-6.51
PRJ_042,1,17.0,20.97,3.97
PRJ_042,2,40.4,37.24,-3.16
PRJ_043,1,17.0,14.4,-2.6
PRJ_043,2,40.4,28.64,-11.76
PRJ_044,1,17.0,13.91,-3.09
PRJ_044,2,40.4,36.42,-3.98
PRJ_045,1,17.0,17.74,0.74
PRJ_045,2,40.4,35.64,-4.76
PRJ_046,1,17.0,18.45,1.45
PRJ_046,2,40.4,34.6,-5.8
PRJ_047,1,17.0,13.67,-3.33
PRJ_047,2,40.4,25.7,-14.7
PRJ_048,1,17.0,15.47,-1.53
PRJ_048,2,40.4,37.09,-3.31
PRJ_049,1,17.0,15.78,-1.22
PRJ_049,2,40.4,42.26,1.86
PRJ_050,1,17.0,13.0,-4.0
PRJ_050,2,40.4,25.54,-14.86
PRJ_051,1,17.0,15.08,-1.92
PRJ_051,2,40.4,35.98,-4.42
PRJ_052,1,17.0,15.89,-1.11
PRJ_052,2,40.4,30.88,-9.52
PRJ_053,1,17.0,15.22,-1.78
PRJ_053,2,40.4,34.36,-6.04
PRJ_054,1,17.0,15.0,-2.0
PRJ_054,2,40.4,32.85,-7.55
PRJ_055,1,17.0,12.58,-4.42
PRJ_055,2,40.4,30.96,-9.44
PRJ_056,1,17.0,17.55,0.55
PRJ_056,2,40.4,34.07,-6.33
PRJ_057,1,17.0,15.87,-1.13
PRJ_057,2,40.4,31.66,-8.74
PRJ_058,1,17.0,14.38,-2.62
PRJ_058,2,40.4,36.67,-3.73
PRJ_059,1,17.0,16.08,-0.92
PRJ_059,2,40.4,34.96,-5.44
PRJ_060,1,17.0,18.61,1.61
PRJ_060,2,40.4,38.92,-1.48
PRJ_061,1,17.0,14.53,-2.47
PRJ_061,2,40.4,33.03,-7.37
PRJ_062,1,17.0,13.44,-3.56
PRJ_062,2,40.4,26.29,-14.11
PRJ_063,1,17.0,15.11,-1.89
PRJ_063,2,40.4,36.96,-3.44
PRJ_064,1,17.0,13.83,-3.17
PRJ_064,2,40.4,35.89,-4.51
PRJ_065,1,17.0,15.2,-1.8
PRJ_065,2,40.4,30.01,-10.39
PRJ_066,1,17.0,13.38,-3.62
PRJ_066,2,40.4,38.87,-1.53
PRJ_067,1,17.0,17.04,0.04
PRJ_067,2,40.4,28.17,-12.23
PRJ_068,1,17.0,15.37,-1.63
PRJ_068,2,40.4,32.77,-7.63
PRJ_069,1,17.0,12.27,-4.73
PRJ_069,2,40.4,30.47,-9.93
PRJ_070,1,17.0,16.87,-0.13
PRJ_070,2,40.4,35.21,-5.19
PRJ_071,1,17.0,15.36,-1.64
PRJ_071,2,40.4,32.63,-7.77
PRJ_072,1,17.0,16.11,-0.89
PRJ_072,2,40.4,36.05,-4.35
PRJ_073,1,17.0,15.01,-1.99
PRJ_073,2,40.4,38.92,-1.48
PRJ_074,1,17.0,16.16,-0.84
PRJ_074,2,40.4,34.24,-6.16
PRJ_075,1,17.0,15.24,-1.76
PRJ_075,2,40.4,33.12,-7.28
PRJ_076,1,17.0,17.9,0.9
PRJ_076,2,40.4,37.97,-2.43
PRJ_077,1,17.0,17.34,0.34
PRJ_077,2,40.4,32.83,-7.57
PRJ_078,1,17.0,15.51,-1.49
PRJ_078,2,40.4,31.38,-9.02
PRJ_079,1,17.0,14.72,-2.28
PRJ_079,2,40.4,34.98,-5.42
PRJ_080,1,17.0,13.03,-3.97
PRJ_080,2,40.4,29.76,-10.64
PRJ_081,1,17.0,14.83,-2.17
PRJ_081,2,40.4,34.22,-6.18
PRJ_082,1,17.0,15.31,-1.69
PRJ_082,2,40.4,28.36,-12.04
PRJ_083,1,17.0,15.65,-1.35
PRJ_083,2,40.4,39.77,-0.63
PRJ_084,1,17.0,16.24,-0.76
PRJ_084,2,40.4,36.34,-4.06
PRJ_085,1,17.0,17.28,0.28
PRJ_085,2,40.4,35.75,-4.65
PRJ_086,1,17.0,15.07,-1.93
PRJ_086,2,40.4,31.6,-8.8
PRJ_087,1,17.0,15.27,-1.73
PRJ_087,2,40.4,27.53,-12.87
PRJ_088,1,17.0,17.49,0.49
PRJ_088,2,40.4,38.96,-1.44
PRJ_089,1,17.0,15.16,-1.84
PRJ_089,2,40.4,28.06,-12.34
PRJ_090,1,17.0,17.78,0.78
PRJ_090,2,40.4,33.02,-7.38
PRJ_091,1,17.0,15.4,-1.6
PRJ_091,2,40.4,32.82,-7.58
PRJ_092,1,17.0,12.86,-4.14
PRJ_092,2,40.4,32.28,-8.12
PRJ_093,1,17.0,15.22,-1.78
PRJ_093,2,40.4,37.34,-3.06
PRJ_094,1,17.0,11.57,-5.43
PRJ_094,2,40.4,25.59,-14.81
PRJ_095,1,17.0,14.8,-2.2
PRJ_095,2,40.4,26.41,-13.99
PRJ_096,1,17.0,12.84,-4.16
PRJ_096,2,40.4,31.89,-8.51
PRJ_097,1,17.0,13.13,-3.87
PRJ_097,2,40.4,28.62,-11.78
PRJ_098,1,17.0,11.94,-5.06
PRJ_098,2,40.4,27.96,-12.44
PRJ_099,1,17.0,15.33,-1.67
PRJ_099,2,40.4,33.54,-6.86
PRJ_100,1,17.0,13.52,-3.48
PRJ_100,2,40.4,34.01,-6.39
PRJ_101,1,17.0,15.53,-1.47
PRJ_101,2,40.4,31.2,-9.2
PRJ_102,1,17.0,16.59,-0.41
PRJ_102,2,40.4,38.7,-1.7
PRJ_103,1,17.0,18.4,1.4
PRJ_103,2,40.4,34.0,-6.4
PRJ_104,1,17.0,13.8,-3.2
PRJ_104,2,40.4,32.12,-8.28
PRJ_105,1,17.0,13.69,-3.31
PRJ_105,2,40.4,34.89,-5.51
PRJ_106,1,17.0,11.54,-5.46
PRJ_106,2,40.4,32.85,-7.55
PRJ_107,1,17.0,15.5,-1.5
PRJ_107,2,40.4,29.25,-11.15
PRJ_108,1,17.0,11.5,-5.5
PRJ_108,2,40.4,24.88,-15.52
PRJ_109,1,17.0,11.95,-5.05
PRJ_109,2,40.4,34.48,-5.92
PRJ_110,1,17.0,12.83,-4.17
PRJ_110,2,40.4,36.22,-4.18
PRJ_111,1,17.0,13.52,-3.48
PRJ_111,2,40.4,36.62,-3.78
PRJ_112,1,17.0,13.33,-3.67
PRJ_112,2,40.4,30.55,-9.85
PRJ_113,1,17.0,14.53,-2.47
PRJ_113,2,40.4,34.07,-6.33
PRJ_114,1,17.0,15.74,-1.26
PRJ_114,2,40.4,37.17,-3.23
PRJ_115,1,17.0,11.44,-5.56
PRJ_115,2,40.4,26.89,-13.51
PRJ_116,1,17.0,18.39,1.39
PRJ_116,2,40.4,35.0,-5.4
PRJ_117,1,17.0,17.99,0.99
PRJ_118,1,17.0,14.59,-2.41
PRJ_119,1,17.0,18.52,1.52
PRJ_120,1,17.0,13.88,-3.12
PRJ_121,1,17.0,12.38,-4.62
PRJ_122,1,17.0,20.42,3.42
PRJ_123,1,17.0,15.3,-1.7
PRJ_124,1,17.0,16.53,-0.47
PRJ_125,1,17.0,12.41,-4.59
PRJ_126,1,17.0,11.82,-5.18
PRJ_127,1,17.0,15.52,-1.47
PRJ_128,1,17.0,16.96,-0.04
PRJ_129,1,17.0,16.47,-0.53
PRJ_130,1,17.0,16.07,-0.93
PRJ_131,1,17.0,14.23,-2.77
PRJ_132,1,17.0,10.26,-6.74
PRJ_133,1,17.0,16.58,-0.43
PRJ_134,1,17.0,16.68,-0.32
PRJ_135,1,17.0,18.09,1.09
PRJ_136,1,17.0,12.3,-4.7
PRJ_137,1,17.0,14.53,-2.47
PRJ_138,1,17.0,11.8,-5.2
PRJ_139,1,17.0,10.89,-6.11
PRJ_140,1,17.0,11.0,-6.0
PRJ_141,1,17.0,15.8,-1.2
PRJ_142,1,17.0,8.33,-8.67
PRJ_143,1,17.0,20.1,3.1
PRJ_144,1,17.0,15.69,-1.31
PRJ_145,1,17.0,17.23,0.23
PRJ_146,1,17.0,10.44,-6.56
PRJ_147,1,17.0,14.81,-2.19
PRJ_148,1,17.0,18.53,1.53
PRJ_149,1,17.0,16.65,-0.35
PRJ_150,1,17.0,16.28,-0.72
PRJ_151,1,17.0,13.79,-3.21
PRJ_152,1,17.0,11.49,-5.51
PRJ_153,1,17.0,17.21,0.21
PRJ_154,1,17.0,14.33,-2.67
PRJ_155,1,17.0,15.67,-1.33
PRJ_156,1,17.0,11.29,-5.71
PRJ_157,1,17.0,16.11,-0.89
PRJ_158,1,17.0,16.3,-0.7
PRJ_159,1,17.0,10.57,-6.43
PRJ_160,1,17.0,14.36,-2.64
PRJ_161,1,17.0,14.31,-2.69
PRJ_162,1,17.0,14.46,-2.54
PRJ_163,1,17.0,15.17,-1.83
PRJ_164,1,17.0,14.82,-2.18
PRJ_165,1,17.0,18.77,1.77
PRJ_166,1,17.0,15.0,-2.0
PRJ_167,1,17.0,17.12,0.12
PRJ_168,1,17.0,12.92,-4.08
PRJ_169,1,17.0,14.62,-2.38
PRJ_170,1,17.0,17.54,0.54
PRJ_171,1,17.0,11.8,-5.2
PRJ_172,1,17.0,7.75,-9.25
PRJ_173,1,17.0,15.82,-1.18
PRJ_174,1,17.0,12.47,-4.53
PRJ_175,1,17.0,17.59,0.59
PRJ_176,1,17.0,13.71,-3.29
PRJ_177,1,17.0,13.68,-3.32
PRJ_178,1,17.0,15.86,-1.14
PRJ_179,1,17.0,14.87,-2.13
PRJ_180,1,17.0,15.0,-2.0
PRJ_181,1,17.0,19.04,2.04
PRJ_182,1,17.0,17.63,0.63
PRJ_183,1,17.0,18.64,1.64
PRJ_184,1,17.0,14.65,-2.35
PRJ_185,1,17.0,17.33,0.33
PRJ_186,1,17.0,12.33,-4.67
PRJ_187,1,17.0,12.4,-4.6
PRJ_188,1,17.0,14.44,-2.56
PRJ_189,1,17.0,14.3,-2.7
PRJ_190,1,17.0,19.64,2.64
PRJ_191,1,17.0,17.18,0.18
PRJ_192,1,17.0,13.42,-3.58
PRJ_193,1,17.0,10.11,-6.89
PRJ_194,1,17.0,12.87,-4.13
PRJ_195,1,17.0,17.19,0.19
PRJ_196,1,17.0,9.61,-7.39
PRJ_197,1,17.0,13.29,-3.71
PRJ_198,1,17.0,13.12,-3.88
PRJ_199,1,17.0,21.4,4.4
PRJ_200,1,17.0,17.61,0.61
PRJ_201,1,17.0,18.4,1.4
PRJ_202,1,17.0,11.05,-5.95
PRJ_203,1,17.0,12.65,-4.35
PRJ_204,1,17.0,17.31,0.31
PRJ_205,1,17.0,16.54,-0.46
PRJ_206,1,17.0,16.63,-0.37
PRJ_207,1,17.0,16.09,-0.91
PRJ_208,1,17.0,15.53,-1.47
PRJ_209,1,17.0,13.37,-3.63
PRJ_210,1,17.0,17.22,0.22
PRJ_211,1,17.0,12.6,-4.4
PRJ_212,1,17.0,15.33,-1.67
PRJ_213,1,17.0,14.33,-2.67
PRJ_214,1,17.0,17.53,0.53
PRJ_215,1,17.0,8.57,-8.43
PRJ_216,1,17.0,15.43,-1.57
